interpulse interval,minimum required amplitude,threshold
0.00209,0.0036479465577021987,0.0002272380828857422
0.00209575,0.0035656282957170337,0.0002272380828857422
0.0021014999999999996,0.0034947285428215766,0.0002272380828857422
0.00210725,0.003406993044530282,0.0002272380828857422
0.002113,0.003314717448204646,0.0002272380828857422
0.00211875,0.0032163251804222456,0.0002272380828857422
0.0021245,0.0031275240051818406,0.0002272380828857422
0.0021302499999999998,0.0030077369317459673,0.0002272380828857422
0.002136,0.0028634642102597354,0.0002272380828857422
0.00214175,0.002668386816569183,0.0002272380828857422
0.0021475,0.0023395298539853684,0.0002272380828857422
0.0021532499999999998,0.00021763593807645526,0.0002272380828857422
0.002159,0.0002176305202983713,0.0002272380828857422
0.0021647499999999996,0.00021762726963152096,0.0002272380828857422
0.0021704999999999997,0.00021762618607590415,0.0002272380828857422
0.0021762500000000002,0.00021762672785371256,0.0002272380828857422
0.002182,0.00021762943674275454,0.0002272380828857422
0.00218775,0.00021763377096522168,0.0002272380828857422
0.0021934999999999997,0.0002176402722989224,0.0002272380828857422
0.00219925,0.00021764677363262313,0.0002272380828857422
0.002205,0.00021765652563317418,0.0002272380828857422
0.00221075,0.00021766790296715046,0.0002272380828857422
0.0022165,0.0002176809056345519,0.0002272380828857422
0.00222225,0.00021769282474633656,0.0002272380828857422
0.002228,0.00021770907808058837,0.0002272380828857422
0.0022337499999999996,0.000217726414970457,0.0002272380828857422
0.0022395,0.00021774591897155918,0.0002272380828857422
0.00224525,0.00021776271408361936,0.0002272380828857422
0.002251,0.00021778438519595513,0.0002272380828857422
0.00225675,0.0002178076816417161,0.0002272380828857422
0.0022624999999999998,0.00021782772742062664,0.0002272380828857422
0.00226825,0.00021785319097762114,0.0002272380828857422
0.002274,0.0002178797380902324,0.0002272380828857422
0.00227975,0.00021790736875846055,0.0002272380828857422
0.0022854999999999998,0.0002179366247601138,0.0002272380828857422
0.00229125,0.0002179615465392999,0.0002272380828857422
0.0022969999999999996,0.00021799242787437834,0.0002272380828857422
0.0023027499999999997,0.0002180243927650736,0.0002272380828857422
0.0023085000000000002,0.00021805744121138559,0.0002272380828857422
0.00231425,0.0002180856136574221,0.0002272380828857422
0.00232,0.00021812028743715928,0.0002272380828857422
0.0024316666666666666,0.00021888419414699457,0.0002272380828857422
0.002543333333333333,0.00021972828397247215,0.0002272380828857422
0.002655,0.00022052686446204467,0.0002272380828857422
0.002766666666666667,0.000221195960055411,0.0002272380828857422
0.002878333333333333,0.000221706314750918,0.0002272380828857422
0.00299,0.00022207147299377542,0.0002272380828857422
0.0031016666666666666,0.00022230877167385188,0.0002272380828857422
0.0032133333333333332,0.00022244638323718394,0.0002272380828857422
0.0033250000000000003,0.00022251464724104157,0.0002272380828857422
0.0034366666666666664,0.0002225379436868025,0.0002272380828857422
0.0035483333333333335,0.00022253469301995212,0.0002272380828857422
0.00366,0.00022251898146350872,0.0002272380828857422
0.0037716666666666667,0.00022249893568459812,0.0002272380828857422
0.0038833333333333333,0.00022248105701692112,0.0002272380828857422
0.003995,0.0002224664290160945,0.0002272380828857422
0.0041066666666666665,0.0002224566770155434,0.0002272380828857422
0.0042183333333333335,0.00022245071745965108,0.0002272380828857422
0.0043300000000000005,0.0002224485503484175,0.0002272380828857422
0.004441666666666667,0.0002224480085706091,0.0002272380828857422
0.004553333333333333,0.00022244909212622592,0.0002272380828857422
0.004665,0.0002224512592374595,0.0002272380828857422
0.004776666666666668,0.00022245288457088466,0.0002272380828857422
0.004888333333333334,0.00022245505168211823,0.0002272380828857422
0.005,0.00022245613523773502,0.0002272380828857422
