phase duration (us),stimulus amplitude (uA),amplitude level,pulse form,AP height (mV),rise time (us),fall time (us),AP duration (us),latency (us)
40,275.86,1*threshold,monophasic,107,120,713,833,261
40,551.72,2*threshold,monophasic,107,120,713,833,109
50,227.24,1*threshold,monophasic,107,120,713,833,267
50,454.48,2*threshold,monophasic,107,121,712,833,115
100,131.11,1*threshold,monophasic,107,121,712,833,298
100,262.22,2*threshold,monophasic,107,121,712,833,100
200,63.85,1*threshold,biphasic,107,121,712,833,695
200,127.69,2*threshold,biphasic,107,120,713,833,200
