phase duration (us),stimulus amplitude (uA),amplitude level,pulse form,AP height (mV),rise time (us),fall time (us),AP duration (us),latency (us),jitter (us)
40,275.86,1*threshold,monophasic,107,120,713,833,265,26.4
40,551.72,2*threshold,monophasic,107,121,712,833,110,4.29
50,227.24,1*threshold,monophasic,107,120,713,833,261,21.5
50,454.48,2*threshold,monophasic,107,120,713,833,115,3.07
100,131.11,1*threshold,monophasic,107,121,712,833,293,22
100,262.22,2*threshold,monophasic,107,121,713,833,100,0
200,63.85,1*threshold,biphasic,107,121,712,833,679,60.9
200,127.69,2*threshold,biphasic,107,120,713,833,200,0.53
