interpulse interval,minimum required amplitude,threshold
0.00121,0.003455947903777814,0.0003925655937194823
0.0012115000000000001,0.003431005229030378,0.0003925655937194823
0.001213,0.003418351194351234,0.0003925655937194823
0.0012144999999999999,0.0034055691218064016,0.0003925655937194823
0.001216,0.0033795998978551137,0.0003925655937194823
0.0012175,0.003353056375406849,0.0003925655937194823
0.0012189999999999998,0.0033395554937914844,0.0003925655937194823
0.0012205,0.0033258943776541487,0.0003925655937194823
0.001222,0.0032980667327517574,0.0003925655937194823
0.0012235,0.003269521776297732,0.0003925655937194823
0.0012250000000000002,0.003254962897581681,0.0003925655937194823
0.0012265,0.003240204100092887,0.0003925655937194823
0.001228,0.003210053054621894,0.0003925655937194823
0.0012295000000000001,0.003179000502774942,0.0003925655937194823
0.0012309999999999999,0.003163113324797304,0.0003925655937194823
0.0012324999999999999,0.0031469723173666343,0.0003925655937194823
0.001234,0.0031138831398198445,0.0003925655937194823
0.0012355,0.003079637128925169,0.0003925655937194823
0.001237,0.0030620465232022607,0.0003925655937194823
0.0012385,0.0030441234682842323,0.0003925655937194823
0.00124,0.003007214120031348,0.0003925655937194823
0.0013212500000000002,0.00045743137349989405,0.0003925655937194823
0.0014024999999999999,0.0004465361747652058,0.0003925655937194823
0.0014837499999999998,0.00043788650561647947,0.0003925655937194823
0.001565,0.0004308653882681755,0.0003925655937194823
0.0018103571428571429,0.0004155802128871073,0.0003925655937194823
0.0020557142857142857,0.0004057415137342104,0.0003925655937194823
0.0023010714285714284,0.00039908054968062047,0.0003925655937194823
0.0025464285714285714,0.00039436561143360436,0.0003925655937194823
0.002791785714285714,0.0003909243130084359,0.0003925655937194823
0.0030371428571428576,0.00038838526971867387,0.0003925655937194823
0.0032825,0.0003864781794034206,0.0003925655937194823
0.003527857142857143,0.00038502633483283703,0.0003925655937194823
0.003773214285714286,0.00038392191464634365,0.0003925655937194823
0.004018571428571429,0.00038306982639398475,0.0003925655937194823
0.004263928571428572,0.00038241615939547035,0.0003925655937194823
0.004509285714285715,0.0003819099980083046,0.0003925655937194823
0.004754642857142857,0.0003815154017789609,0.0003925655937194823
0.005,0.00038121065668343353,0.0003925655937194823
