phase duration (us),pulse form,threshold
40,mono,0.00044694324970245353
50,mono,0.0003925655937194823
100,mono,0.00028696805477142337
50,bi,0.0004612634754180908
200,bi,0.0002434619379043579
400,bi,0.0002236381578445434
