phase duration (us),stimulus amplitude (uA),amplitude level,pulse form,AP height (mV),rise time (us),fall time (us),AP duration (us),latency (us),jitter (us)
40,446.94,1*threshold,monophasic,105,86.4,230,316,146,26.1
40,893.89,2*threshold,monophasic,105,86.7,230,317,39.9,0.221
50,392.57,1*threshold,monophasic,105,87.2,228,316,144,19.9
50,785.13,2*threshold,monophasic,105,89,228,317,49.8,0.53
100,286.97,1*threshold,monophasic,105,85.8,229,314,185,15
100,573.94,2*threshold,monophasic,106,86.2,231,318,96.6,4.09
200,243.46,1*threshold,biphasic,105,86.6,230,316,223,37.3
200,486.92,2*threshold,biphasic,106,87.3,230,317,118,6.86
