frequency,model,stimulus length (ms),threshold (uA)
1.0,imennov_09,10.0,9.7503662109375
2.0,imennov_09,0.5,14.840698242187502
2.0,imennov_09,2.0,14.42413330078125
2.0,imennov_09,10.0,14.42413330078125
4.0,imennov_09,0.5,22.81494140625
4.0,imennov_09,2.0,20.828247070312496
4.0,imennov_09,10.0,20.819091796875
8.0,imennov_09,0.5,32.15789794921875
8.0,imennov_09,2.0,28.60107421875
8.0,imennov_09,10.0,28.582763671875004
16.0,imennov_09,0.5,42.1783447265625
16.0,imennov_09,2.0,37.19329833984375
16.0,imennov_09,10.0,37.1612548828125
0.125,negm_14,0.5,893.2846069335936
0.125,negm_14,2.0,1130.5618286132815
0.125,negm_14,10.0,251.54571533203134
0.25,negm_14,0.5,1372.7005004882815
0.25,negm_14,2.0,819.0170288085938
0.25,negm_14,10.0,186.13128662109366
0.5,negm_14,0.5,297.7432250976563
0.5,negm_14,2.0,185.28900146484366
0.5,negm_14,10.0,185.28900146484366
1.0,negm_14,0.5,815.2450561523436
1.0,negm_14,2.0,219.82727050781253
1.0,negm_14,10.0,219.82727050781253
2.0,negm_14,0.5,281.08520507812506
2.0,negm_14,2.0,255.35888671875009
2.0,negm_14,10.0,255.35430908203136
4.0,negm_14,0.5,352.752685546875
4.0,negm_14,2.0,345.29113769531256
4.0,negm_14,10.0,345.29113769531256
8.0,negm_14,0.5,541.7221069335939
8.0,negm_14,2.0,540.9393310546875
8.0,negm_14,10.0,540.9393310546875
16.0,negm_14,0.5,995.5718994140624
16.0,negm_14,2.0,996.8582153320312
16.0,negm_14,10.0,996.8582153320312
