phase duration (us),pulse form,threshold
40,mono,0.0003138657522201538
50,mono,0.00025786888599395747
100,mono,0.00014611027717590335
50,bi,0.0003911433839797973
200,bi,9.244431495666502e-05
400,bi,5.6657977104187007e-05
